CVE_ID,Status,Descriptions,Weaknesses,Source Identifier,Published,Last Modified,CVSS_Metric_V2_Primary_version,CVSS_Metric_V2_Primary_vectorString,CVSS_Metric_V2_Primary_accessVector,CVSS_Metric_V2_Primary_accessComplexity,CVSS_Metric_V2_Primary_authentication,CVSS_Metric_V2_Primary_confidentialityImpact,CVSS_Metric_V2_Primary_integrityImpact,CVSS_Metric_V2_Primary_availabilityImpact,CVSS_Metric_V2_Primary_baseScore,CVSS_Metric_V2_Primary_exploitabilityScore,CVSS_Metric_V2_Primary_impactScore,CVSS_Metric_V3.1_Secondary_version,CVSS_Metric_V3.1_Secondary_vectorString,CVSS_Metric_V3.1_Secondary_attackVector,CVSS_Metric_V3.1_Secondary_attackComplexity,CVSS_Metric_V3.1_Secondary_privilegesRequired,CVSS_Metric_V3.1_Secondary_userInteraction,CVSS_Metric_V3.1_Secondary_scope,CVSS_Metric_V3.1_Secondary_confidentialityImpact,CVSS_Metric_V3.1_Secondary_integrityImpact,CVSS_Metric_V3.1_Secondary_availabilityImpact,CVSS_Metric_V3.1_Secondary_baseScore,CVSS_Metric_V3.1_Secondary_baseSeverity,CVSS_Metric_V3.1_Secondary_exploitabilityScore,CVSS_Metric_V3.1_Secondary_impactScore,CVSS_Metric_V3.1_Primary_version,CVSS_Metric_V3.1_Primary_vectorString,CVSS_Metric_V3.1_Primary_attackVector,CVSS_Metric_V3.1_Primary_attackComplexity,CVSS_Metric_V3.1_Primary_privilegesRequired,CVSS_Metric_V3.1_Primary_userInteraction,CVSS_Metric_V3.1_Primary_scope,CVSS_Metric_V3.1_Primary_confidentialityImpact,CVSS_Metric_V3.1_Primary_integrityImpact,CVSS_Metric_V3.1_Primary_availabilityImpact,CVSS_Metric_V3.1_Primary_baseScore,CVSS_Metric_V3.1_Primary_baseSeverity,CVSS_Metric_V3.1_Primary_exploitabilityScore,CVSS_Metric_V3.1_Primary_impactScore
CVE-1999-0095,Modified,"The debug command in Sendmail is enabled, allowing attackers to execute commands as root.","[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",cve@mitre.org,1988-10-01T04:00:00.000,2019-06-11T20:29:00.263,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-0082,Analyzed,CWD ~root command in ftpd allows root access.,"[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",cve@mitre.org,1988-11-11T05:00:00.000,2008-09-09T12:33:40.853,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1471,Analyzed,Buffer overflow in passwd in BSD based operating systems 4.3 and earlier allows local users to gain root privileges by specifying a long shell or GECOS field.,"[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",cve@mitre.org,1989-01-01T05:00:00.000,2008-09-05T20:19:36.257,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,3.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1122,Modified,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,"[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",cve@mitre.org,1989-07-26T04:00:00.000,2018-05-03T01:29:04.817,2.0,AV:L/AC:L/Au:N/C:P/I:P/A:P,LOCAL,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,4.6,3.9,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1467,Modified,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.","[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",cve@mitre.org,1989-10-26T04:00:00.000,2017-12-19T02:29:08.393,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1506,Analyzed,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.","[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",cve@mitre.org,1990-01-29T05:00:00.000,2008-09-05T20:19:41.257,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,NETWORK,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,7.5,10.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-0084,Modified,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,"[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}, {'source': '134c704f-9b21-4f2e-91b3-4a467353bcc0', 'type': 'Secondary', 'description': [{'lang': 'en', 'value': 'CWE-269'}]}]",cve@mitre.org,1990-05-01T04:00:00.000,2024-08-01T21:35:07.727,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,3.9,10.0,3.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,LOCAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,8.4,HIGH,2.5,5.9,,,,,,,,,,,,,,
CVE-2000-0388,Analyzed,Buffer overflow in FreeBSD libmytinfo library allows local users to execute commands via a long TERMCAP environmental variable.,"[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",cve@mitre.org,1990-05-09T04:00:00.000,2008-09-10T19:04:33.930,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,NETWORK,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,7.5,10.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-0209,Analyzed,The SunView (SunTools) selection_svc facility allows remote users to read files.,"[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",cve@mitre.org,1990-08-14T04:00:00.000,2008-09-09T12:34:01.117,2.0,AV:N/AC:L/Au:N/C:P/I:N/A:N,NETWORK,LOW,NONE,PARTIAL,NONE,NONE,5.0,10.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE-1999-1198,Analyzed,"BuildDisk program on NeXT systems before 2.0 does not prompt users for the root password, which allows local users to gain root privileges.","[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",cve@mitre.org,1990-10-03T04:00:00.000,2008-09-05T20:18:57.260,2.0,AV:L/AC:L/Au:N/C:C/I:C/A:C,LOCAL,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,7.2,3.9,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
