cveID,total_affected_hosts,country,org,product,os,version,isp,asn,city
CVE-2024-49039,0,,,,,,,,
CVE-2023-28461,0,,,,,,,,
CVE-2024-44309,0,,,,,,,,
CVE-2024-51567,0,,,,,,,,
CVE-2024-38812,0,,,,,,,,
CVE-2024-44308,0,,,,,,,,
CVE-2024-1212,0,,,,,,,,
CVE-2019-16278,0,,,,,,,,
CVE-2014-2120,0,,,,,,,,
CVE-2024-43093,0,,,,,,,,
CVE-2024-9465,0,,,,,,,,
CVE-2021-41277,214,US (86); SG (20); IE (17); DE (16); CN (11); FR (10); JP (10); IN (7); GB (6); ID (6),"Amazon Technologies Inc. (38); Amazon Data Services NoVa (24); DigitalOcean, LLC (22); Amazon.com, Inc. (15); Amazon Data Services Ireland Limited (11); Google LLC (11); A100 ROW GmbH (8); Amazon Data Services Singapore (7); Alibaba Cloud - JP (5); Amazon Data Services Japan (5)",Metabase (214),Ubuntu (13); Windows (1),,"Amazon.com, Inc. (115); DigitalOcean, LLC (22); Google LLC (11); Alibaba (US) Technology Co., Ltd. (7); Hangzhou Alibaba Advertising Co.,Ltd. (4); Hetzner Online GmbH (4); Microsoft Corporation (4); OVH SAS (4); Akamai Connected Cloud (3); Huawei Cloud Service data center (3)",as16509 (73); as14618 (42); as14061 (22); as396982 (10); as45102 (7); as24940 (4); as37963 (4); as8075 (4); as16276 (3); as50624 (3),Ashburn (43); Singapore (20); Dublin (17); Frankfurt am Main (14); Tokyo (10); Boardman (8); Columbus (7); Paris (7); Council Bluffs (6); London (5)
CVE-2024-9474,0,,,,,,,,
CVE-2024-9463,0,,,,,,,,
CVE-2021-26086,0,,,,,,,,
CVE-2024-43451,0,,,,,,,,
CVE-2024-38813,0,,,,,,,,
CVE-2024-5910,0,,,,,,,,
CVE-2024-21287,0,,,,,,,,
CVE-2024-8957,0,,,,,,,,
CVE-2024-20481,0,,,,,,,,
CVE-2024-8956,0,,,,,,,,
CVE-2024-0012,0,,,,,,,,
CVE-2024-40711,0,,,,,,,,
CVE-2024-28987,0,,,,,,,,
CVE-2024-9537,0,,,,,,,,
CVE-2024-38094,0,,,,,,,,
CVE-2024-47575,0,,,,,,,,
CVE-2024-43047,0,,,,,,,,
CVE-2024-23113,0,,,,,,,,
CVE-2024-43572,0,,,,,,,,
CVE-2024-9380,0,,,,,,,,
CVE-2024-9379,0,,,,,,,,
CVE-2024-30088,0,,,,,,,,
CVE-2024-43573,0,,,,,,,,
CVE-2024-45519,0,,,,,,,,
CVE-2024-9680,0,,,,,,,,
CVE-2024-29824,0,,,,,,,,
CVE-2020-15415,0,,,,,,,,
CVE-2019-0344,0,,,,,,,,
CVE-2020-0618,0,,,,,,,,
CVE-2024-37383,0,,,,,,,,
CVE-2020-14644,0,,,,,,,,
CVE-2023-25280,0,,,,,,,,
CVE-2022-21445,0,,,,,,,,
CVE-2024-8963,0,,,,,,,,
CVE-2024-27348,0,,,,,,,,
CVE-2014-0502,0,,,,,,,,
CVE-2024-6670,0,,,,,,,,
CVE-2013-0643,0,,,,,,,,
CVE-2013-0648,0,,,,,,,,
CVE-2014-0497,0,,,,,,,,
CVE-2024-8190,0,,,,,,,,
CVE-2024-43461,0,,,,,,,,
CVE-2024-7262,0,,,,,,,,
CVE-2024-7593,0,,,,,,,,
CVE-2024-38226,0,,,,,,,,
CVE-2017-1000253,0,,,,,,,,
CVE-2024-40766,0,,,,,,,,
CVE-2016-3714,0,,,,,,,,
CVE-2024-39717,0,,,,,,,,
CVE-2024-7971,0,,,,,,,,
CVE-2024-38217,0,,,,,,,,
CVE-2021-20124,0,,,,,,,,
CVE-2024-7965,0,,,,,,,,
CVE-2021-33045,0,,,,,,,,
CVE-2024-38856,0,,,,,,,,
CVE-2022-0185,0,,,,,,,,
CVE-2021-33044,0,,,,,,,,
CVE-2024-28986,0,,,,,,,,
CVE-2021-31196,0,,,,,,,,
CVE-2024-38106,0,,,,,,,,
CVE-2024-38193,0,,,,,,,,
CVE-2024-38178,0,,,,,,,,
CVE-2024-38189,0,,,,,,,,
CVE-2024-38213,0,,,,,,,,
CVE-2024-32113,0,,,,,,,,
CVE-2018-0824,0,,,,,,,,
CVE-2024-37085,0,,,,,,,,
CVE-2024-36971,0,,,,,,,,
CVE-2024-4879,0,,,,,,,,
CVE-2024-38107,0,,,,,,,,
CVE-2023-45249,0,,,,,,,,
CVE-2024-39891,0,,,,,,,,
CVE-2022-22948,0,,,,,,,,
CVE-2024-28995,0,,,,,,,,
CVE-2024-5217,0,,,,,,,,
CVE-2024-34102,0,,,,,,,,
CVE-2012-4792,0,,,,,,,,
CVE-2021-20123,0,,,,,,,,
CVE-2024-23897,31174,US (8902); CN (6404); DE (2029); IN (1614); SG (1385); KR (1123); GB (1075); JP (961); CA (789); FR (749),"Aliyun Computing Co., LTD (3348); Linode (2957); Amazon Technologies Inc. (2507); DigitalOcean, LLC (2121); Google LLC (1395); Amazon.com, Inc. (997); Amazon Data Services NoVa (931); Tencent cloud computing (Beijing) Co., Ltd. (817); Microsoft Corporation (812); Vultr Holdings, LLC (687)",Jenkins (24614); Jetty (8); Microsoft IIS httpd (1),Ubuntu (1934); Windows (27),2.387.1 (1037); 2.426.2 (987); 2.346.3 (905); 2.426.1 (822); 2.414.3 (685); 2.414.2 (626); 2.401.3 (546); 2.346.1 (533); 2.414.1 (501); 2.332.3 (485),"Amazon.com, Inc. (7047); Hangzhou Alibaba Advertising Co.,Ltd. (3664); Akamai Connected Cloud (3662); DigitalOcean, LLC (2192); Google LLC (1435); Shenzhen Tencent Computer Systems Company Limited (1428); The Constant Company, LLC (1045); Microsoft Corporation (932); OVH SAS (656); M247 Europe SRL (595)",as16509 (4721); as37963 (3664); as63949 (3662); as14618 (2326); as14061 (2192); as45090 (1428); as396982 (1327); as20473 (1045); as8075 (929); as16276 (656),Ashburn (2603); Shanghai (1672); Beijing (1538); Singapore (1369); Frankfurt am Main (1356); London (962); Hangzhou (942); Mumbai (922); Boardman (913); Shenzhen (751)
CVE-2024-23692,0,,,,,,,,
CVE-2024-36401,0,,,,,,,,
CVE-2024-38080,0,,,,,,,,
CVE-2024-38112,0,,,,,,,,
CVE-2024-38014,0,,,,,,,,
CVE-2020-13965,0,,,,,,,,
