CVE_ID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes,version https://git-lfs.github.com/spec/v1,Status,Descriptions,Weaknesses,Source Identifier,Published,Last Modified,CVSS_Metric_V2_Primary_version,CVSS_Metric_V2_Primary_vectorString,CVSS_Metric_V2_Primary_baseScore,CVSS_Metric_V2_Primary_accessVector,CVSS_Metric_V2_Primary_accessComplexity,CVSS_Metric_V2_Primary_authentication,CVSS_Metric_V2_Primary_confidentialityImpact,CVSS_Metric_V2_Primary_integrityImpact,CVSS_Metric_V2_Primary_availabilityImpact,CVSS_Metric_V2_Primary_exploitabilityScore,CVSS_Metric_V2_Primary_impactScore,CVSS_Metric_V3.1_Secondary_version,CVSS_Metric_V3.1_Secondary_vectorString,CVSS_Metric_V3.1_Secondary_baseScore,CVSS_Metric_V3.1_Secondary_baseSeverity,CVSS_Metric_V3.1_Secondary_attackVector,CVSS_Metric_V3.1_Secondary_attackComplexity,CVSS_Metric_V3.1_Secondary_privilegesRequired,CVSS_Metric_V3.1_Secondary_userInteraction,CVSS_Metric_V3.1_Secondary_scope,CVSS_Metric_V3.1_Secondary_confidentialityImpact,CVSS_Metric_V3.1_Secondary_integrityImpact,CVSS_Metric_V3.1_Secondary_availabilityImpact,CVSS_Metric_V3.1_Secondary_exploitabilityScore,CVSS_Metric_V3.1_Secondary_impactScore,CVSS_Metric_V3.1_Primary_version,CVSS_Metric_V3.1_Primary_vectorString,CVSS_Metric_V3.1_Primary_baseScore,CVSS_Metric_V3.1_Primary_baseSeverity,CVSS_Metric_V3.1_Primary_attackVector,CVSS_Metric_V3.1_Primary_attackComplexity,CVSS_Metric_V3.1_Primary_privilegesRequired,CVSS_Metric_V3.1_Primary_userInteraction,CVSS_Metric_V3.1_Primary_scope,CVSS_Metric_V3.1_Primary_confidentialityImpact,CVSS_Metric_V3.1_Primary_integrityImpact,CVSS_Metric_V3.1_Primary_availabilityImpact,CVSS_Metric_V3.1_Primary_exploitabilityScore,CVSS_Metric_V3.1_Primary_impactScore,CVSS_Metric_V2_Secondary_version,CVSS_Metric_V2_Secondary_vectorString,CVSS_Metric_V2_Secondary_baseScore,CVSS_Metric_V2_Secondary_accessVector,CVSS_Metric_V2_Secondary_accessComplexity,CVSS_Metric_V2_Secondary_authentication,CVSS_Metric_V2_Secondary_confidentialityImpact,CVSS_Metric_V2_Secondary_integrityImpact,CVSS_Metric_V2_Secondary_availabilityImpact,CVSS_Metric_V2_Secondary_exploitabilityScore,CVSS_Metric_V2_Secondary_impactScore,Custom_Danger_Score
CVE-2022-0543,Redis,Debian-specific Redis Servers,Debian-specific Redis Server Lua Sandbox Escape Vulnerability,2022-03-28,"Redis is prone to a (Debian-specific) Lua sandbox escape, which could result in remote code execution.",Apply updates per vendor instructions.,2022-04-18,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-0543,CWE-862,,Modified,"It was discovered, that redis, a persistent key-value database, due to a packaging issue, is prone to a (Debian-specific) Lua sandbox escape, which could result in remote code execution.","[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'CWE-862'}]}]",security@debian.org,2022-02-18T20:15:17.583,2024-11-21T06:38:52.870,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,10.0,,,,,,,,,,,,,,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,,,,,,,,,,,,9.294999999999998
CVE-2010-5326,SAP,NetWeaver,SAP NetWeaver Remote Code Execution Vulnerability,2021-11-03,"SAP NetWeaver Application Server Java Platforms Invoker Servlet does not require authentication, allowing for remote code execution via a HTTP or HTTPS request.",Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2010-5326,,,Modified,"The Invoker Servlet on SAP NetWeaver Application Server Java platforms, possibly before 7.3, does not require authentication, which allows remote attackers to execute arbitrary code via an HTTP or HTTPS request, as exploited in the wild in 2013 through 2016, aka a ""Detour"" attack.","[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-noinfo'}]}]",cve@mitre.org,2016-05-13T10:59:00.173,2024-11-21T01:23:03.023,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,10.0,,,,,,,,,,,,,,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,,,,,,,,,,,,9.294999999999998
CVE-2024-4040,CrushFTP,CrushFTP,CrushFTP VFS Sandbox Escape Vulnerability,2024-04-24,CrushFTP contains an unspecified sandbox escape vulnerability that allows a remote attacker to escape the CrushFTP virtual file system (VFS).,Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-05-01,Unknown,https://www.crushftp.com/crush11wiki/Wiki.jsp?page=Update&version=34; https://nvd.nist.gov/vuln/detail/CVE-2024-4040,CWE-1336,,Undergoing Analysis,"A server side template injection vulnerability in CrushFTP in all versions before 10.7.1 and 11.1.0 on all platforms allows unauthenticated remote attackers to read files from the filesystem outside of the VFS Sandbox, bypass authentication to gain administrative access, and perform remote code execution on the server.","[{'source': '430a6cef-dc26-47e3-9fa8-52fb7f19644e', 'type': 'Secondary', 'description': [{'lang': 'en', 'value': 'CWE-1336'}]}, {'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'CWE-94'}]}]",430a6cef-dc26-47e3-9fa8-52fb7f19644e,2024-04-22T20:15:07.803,2024-11-21T09:42:05.023,,,,,,,,,,,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,3.9,5.9,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,,,,,,,,,,,,9.294999999999998
CVE-2021-35211,SolarWinds,Serv-U,SolarWinds Serv-U Remote Code Execution Vulnerability,2021-11-03,SolarWinds Serv-U contains an unspecified memory escape vulnerability which can allow for remote code execution.,Apply updates per vendor instructions.,2021-11-17,Known,https://nvd.nist.gov/vuln/detail/CVE-2021-35211,CWE-787,,Modified,"Microsoft discovered a remote code execution (RCE) vulnerability in the SolarWinds Serv-U product utilizing a Remote Memory Escape Vulnerability. If exploited, a threat actor may be able to gain privileged access to the machine hosting Serv-U Only. SolarWinds Serv-U Managed File Transfer and Serv-U Secure FTP for Windows before 15.2.3 HF2 are affected by this vulnerability.","[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'CWE-787'}]}]",psirt@solarwinds.com,2021-07-14T21:15:08.090,2024-11-21T06:12:04.050,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,10.0,3.1,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:H,9.0,CRITICAL,NETWORK,HIGH,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,2.2,6.0,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,,,,,,,,,,,,9.294999999999998
CVE-2023-20198,Cisco,IOS XE Web UI,Cisco IOS XE Web UI Privilege Escalation Vulnerability,2023-10-16,"Cisco IOS XE Web UI contains a privilege escalation vulnerability in the web user interface that could allow a remote, unauthenticated attacker to create an account with privilege level 15 access. The attacker can then use that account to gain control of the affected device.","Verify that instances of Cisco IOS XE Web UI are in compliance with BOD 23-02 and apply mitigations per vendor instructions. For affected products (Cisco IOS XE Web UI exposed to the internet or to untrusted networks), follow vendor instructions to determine if a system may have been compromised and immediately report positive findings to CISA.",2023-10-20,Unknown,https://www.cisco.com/c/en/us/support/docs/ios-nx-os-software/ios-xe-dublin-17121/221128-software-fix-availability-for-cisco-ios.html;  https://nvd.nist.gov/vuln/detail/CVE-2023-20198,CWE-420,,Modified,"Cisco is providing an update for the ongoing investigation into observed exploitation of the web UI feature in Cisco IOS XE Software. We are updating the list of fixed releases and adding the Software Checker. Our investigation has determined that the actors exploited two previously unknown issues. The attacker first exploited CVE-2023-20198 to gain initial access and issued a privilege 15 command to create a local user and password combination. This allowed the user to log in with normal user access. The attacker then exploited another component of the web UI feature, leveraging the new local user to elevate privilege to root and write the implant to the file system. Cisco has assigned CVE-2023-20273 to this issue. CVE-2023-20198 has been assigned a CVSS Score of 10.0. CVE-2023-20273 has been assigned a CVSS Score of 7.2. Both of these CVEs are being tracked by CSCwh87343.","[{'source': 'ykramarz@cisco.com', 'type': 'Secondary', 'description': [{'lang': 'en', 'value': 'CWE-420'}]}, {'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",ykramarz@cisco.com,2023-10-16T16:15:10.023,2024-11-21T07:40:48.700,,,,,,,,,,,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,,,,,,,,,,,,9.294999999999998
CVE-2024-1709,ConnectWise,ScreenConnect,ConnectWise ScreenConnect Authentication Bypass Vulnerability,2024-02-22,"ConnectWise ScreenConnect contains an authentication bypass vulnerability that allows an attacker with network access to the management interface to create a new, administrator-level account on affected devices.",Apply mitigations per vendor instructions or discontinue use of the product if mitigations are unavailable.,2024-02-29,Known,https://www.connectwise.com/company/trust/security-bulletins/connectwise-screenconnect-23.9.8; https://nvd.nist.gov/vuln/detail/CVE-2024-1709,CWE-288,,Undergoing Analysis,"ConnectWise ScreenConnect 23.9.7 and prior are affected by an Authentication Bypass Using an Alternate Path or Channel   vulnerability, which may allow an attacker direct access to confidential information or   critical systems. ","[{'source': '9119a7d8-5eab-497f-8521-727c672e3725', 'type': 'Secondary', 'description': [{'lang': 'en', 'value': 'CWE-288'}]}, {'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'NVD-CWE-Other'}]}]",9119a7d8-5eab-497f-8521-727c672e3725,2024-02-21T16:15:50.420,2024-11-21T08:51:08.320,,,,,,,,,,,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,,,,,,,,,,,,9.294999999999998
CVE-2024-3400,Palo Alto Networks,PAN-OS,Palo Alto Networks PAN-OS Command Injection Vulnerability,2024-04-12,Palo Alto Networks PAN-OS GlobalProtect feature contains a command injection vulnerability that allows an unauthenticated attacker to execute commands with root privileges on the firewall.,"Apply mitigations per vendor instructions as they become available. Otherwise, users with vulnerable versions of affected devices should enable Threat Prevention IDs available from the vendor. See the vendor bulletin for more details and a patch release schedule.",2024-04-19,Unknown,https://security.paloaltonetworks.com/CVE-2024-3400 ;   https://nvd.nist.gov/vuln/detail/CVE-2024-3400,"CWE-20, CWE-77",,Analyzed,"A command injection as a result of arbitrary file creation vulnerability in the GlobalProtect feature of Palo Alto Networks PAN-OS software for specific PAN-OS versions and distinct feature configurations may enable an unauthenticated attacker to execute arbitrary code with root privileges on the firewall.  Cloud NGFW, Panorama appliances, and Prisma Access are not impacted by this vulnerability.","[{'source': 'psirt@paloaltonetworks.com', 'type': 'Secondary', 'description': [{'lang': 'en', 'value': 'CWE-20'}, {'lang': 'en', 'value': 'CWE-77'}]}, {'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'CWE-77'}]}]",psirt@paloaltonetworks.com,2024-04-12T08:15:06.230,2024-11-29T16:47:54.893,,,,,,,,,,,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,,,,,,,,,,,,9.294999999999998
CVE-2019-11708,Mozilla,Firefox and Thunderbird,Mozilla Firefox and Thunderbird Sandbox Escape Vulnerability,2022-05-23,Mozilla Firefox and Thunderbird contain a sandbox escape vulnerability that could result in remote code execution.,Apply updates per vendor instructions.,2022-06-13,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2019-11708,CWE-20,,Modified,"Insufficient vetting of parameters passed with the Prompt:Open IPC message between child and parent processes can result in the non-sandboxed parent process opening web content chosen by a compromised child process. When combined with additional vulnerabilities this could result in executing arbitrary code on the user's computer. This vulnerability affects Firefox ESR < 60.7.2, Firefox < 67.0.4, and Thunderbird < 60.7.2.","[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",security@mozilla.org,2019-07-23T14:15:15.327,2024-11-21T04:21:38.190,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,10.0,,,,,,,,,,,,,,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,,,,,,,,,,,,9.294999999999998
CVE-2021-22205,GitLab,Community and Enterprise Editions,GitLab Community and Enterprise Editions Remote Code Execution Vulnerability,2021-11-03,"GitHub Community and Enterprise Editions that utilize the ability to upload images through GitLab Workhorse are vulnerable to remote code execution. Workhorse passes image file extensions through ExifTool, which improperly validates the image files.",Apply updates per vendor instructions.,2021-11-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2021-22205,"CWE-20, CWE-95",,Modified,An issue has been discovered in GitLab CE/EE affecting all versions starting from 11.9. GitLab was not properly validating image files that were passed to a file parser which resulted in a remote command execution.,"[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'CWE-94'}]}]",cve@gitlab.com,2021-04-23T18:15:08.167,2024-11-21T05:49:42.403,2.0,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,NETWORK,LOW,NONE,PARTIAL,PARTIAL,PARTIAL,10.0,6.4,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,,,,,,,,,,,,9.294999999999998
CVE-2020-6287,SAP,NetWeaver,SAP NetWeaver Missing Authentication for Critical Function Vulnerability,2021-11-03,SAP NetWeaver Application Server Java Platforms contains a missing authentication for critical function vulnerability allowing unauthenticated access to execute configuration tasks and create administrative users.,Apply updates per vendor instructions.,2022-05-03,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2020-6287,CWE-306,,Modified,"SAP NetWeaver AS JAVA (LM Configuration Wizard), versions - 7.30, 7.31, 7.40, 7.50, does not perform an authentication check which allows an attacker without prior authentication to execute configuration tasks to perform critical actions against the SAP Java system, including the ability to create an administrative user, and therefore compromising Confidentiality, Integrity and Availability of the system, leading to Missing Authentication Check.","[{'source': 'nvd@nist.gov', 'type': 'Primary', 'description': [{'lang': 'en', 'value': 'CWE-306'}]}]",cna@sap.com,2020-07-14T13:15:13.000,2024-11-21T05:35:26.483,2.0,AV:N/AC:L/Au:N/C:C/I:C/A:C,10.0,NETWORK,LOW,NONE,COMPLETE,COMPLETE,COMPLETE,10.0,10.0,,,,,,,,,,,,,,,3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0,CRITICAL,NETWORK,LOW,NONE,NONE,CHANGED,HIGH,HIGH,HIGH,3.9,6.0,,,,,,,,,,,,9.294999999999998
